bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 Mg/ha,0,5,77160568.36155841,0.523751488487376
2,5.0–9.0 Mg/ha,5,9,6882726.302838251,0.046718657243052235
3,9.0–14.0 Mg/ha,9,14,6390041.462352335,0.043374404808952466
4,14.0–21.0 Mg/ha,14,21,6394679.833492428,0.04340588920364221
5,21.0–30.0 Mg/ha,21,30,6007199.072232023,0.040775742358178255
6,30.0–43.0 Mg/ha,30,43,6356390.346023768,0.04314598733302405
7,43.0–61.0 Mg/ha,43,61,6477979.348501593,0.04397131071235756
8,61.0–84.0 Mg/ha,61,84,6219517.765421063,0.04221692188747337
9,84.0–116.0 Mg/ha,84,116,6407977.256590754,0.04349614962147843
10,116.0–161.0 Mg/ha,116,161,6360849.546803981,0.04317625555286345
11,161.0–255.0 Mg/ha,161,255,6340242.382796615,0.0430363779826026
12,>255.0 Mg/ha,255,NA,6324690.517340392,0.042930814832221366
