bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 Mg/ha,0,5,77160568.36155841,0.523751488487376
2,5.0–7.0 Mg/ha,5,7,3712971.685802117,0.025202956489874462
3,7.0–8.0 Mg/ha,7,8,1639510.9286921173,0.011128693159310907
4,8.0–10.0 Mg/ha,8,10,2966566.1604009867,0.020136495559827623
5,10.0–12.0 Mg/ha,10,12,2638067.7604613304,0.01790670993761812
6,12.0–13.0 Mg/ha,12,13,1197612.0738450587,0.00812916648523938
7,13.0–16.0 Mg/ha,13,16,3168423.7843023688,0.0215066673098007
8,16.0–18.0 Mg/ha,16,18,1852309.8787493706,0.012573132582291669
9,18.0–21.0 Mg/ha,18,21,2491985.326429665,0.016915129731684055
10,21.0–24.0 Mg/ha,21,24,2213705.3852939755,0.015026217603626045
11,24.0–28.0 Mg/ha,24,28,2609389.8580579013,0.017712049706499672
12,28.0–32.0 Mg/ha,28,32,2300884.03984569,0.015617969985125288
13,32.0–37.0 Mg/ha,32,37,2547200.89310804,0.017289922658298634
14,37.0–42.0 Mg/ha,37,42,2266794.40469718,0.015386575925566765
15,42.0–48.0 Mg/ha,42,48,2430835.6309008,0.016500057049692915
16,48.0–55.0 Mg/ha,48,55,2518345.3115321696,0.017094056374230924
17,55.0–62.0 Mg/ha,55,62,2263553.752053082,0.015364578982282683
18,62.0–70.0 Mg/ha,62,70,2334703.2269409,0.01584752829394373
19,70.0–80.0 Mg/ha,70,80,2613283.531319201,0.017738479231444764
20,80.0–90.0 Mg/ha,80,90,2325603.406186074,0.015785760414746993
21,90.0–102.0 Mg/ha,90,102,2483831.1663748324,0.016859780820228775
22,102.0–115.0 Mg/ha,102,115,2389359.5676611364,0.016218525299478474
23,115.0–129.0 Mg/ha,115,129,2269370.4113103747,0.015404061376058683
24,129.0–146.0 Mg/ha,129,146,2415331.751506269,0.016394819619712293
25,146.0–167.0 Mg/ha,146,167,2494967.610102892,0.016935372914777588
26,167.0–196.0 Mg/ha,167,196,2380619.8331243396,0.01615920161809781
27,196.0–239.0 Mg/ha,196,239,2409537.8950770795,0.016355492007263262
28,239.0–278.0 Mg/ha,239,278,2409414.07148695,0.01635465151592141
29,278.0–312.0 Mg/ha,278,312,2400591.7286955714,0.016294767105178368
30,>312.0 Mg/ha,312,NA,2417522.76043573,0.016409691778024
