axis,aggregation_level,n_classes,weighted_jaccard,hellinger_distance,network,n_sites
aridity_unep5,unep5,5,0.6935065461161923,0.21081980460399916,current_767,767
aridity_unep5,unep5,5,0.6651353029872541,0.2583946593056605,fluxnet2015,212
aridity_unep5,unep5,5,0.5603845925417409,0.3046759466965633,la_thuile,252
aridity_unep5,unep5,5,0.4789834323226586,0.3968932835862633,marconi,35
aridity_unep7,unep7,7,0.6668684481311914,0.21749744647293717,current_767,767
aridity_unep7,unep7,7,0.5981357264072649,0.2847947494679743,fluxnet2015,212
aridity_unep7,unep7,7,0.5311112605060369,0.31443677828510275,la_thuile,252
aridity_unep7,unep7,7,0.47898343232265866,0.4007718419959101,marconi,35
biomass_cci_v7,7bin_hybrid,7,0.6385450788819502,0.16556347892278958,current_767,767
biomass_cci_v7,7bin_hybrid,7,0.5537168011955627,0.22106434287229965,fluxnet2015,212
biomass_cci_v7,7bin_hybrid,7,0.5319829942388983,0.25815483933654165,la_thuile,252
biomass_cci_v7,7bin_hybrid,7,0.4089512491189818,0.3463839126115215,marconi,35
koppen_beck2023,13class_twoletter,13,0.3734917565047069,0.4104296759189438,current_767,767
koppen_beck2023,13class_twoletter,13,0.3650973530962458,0.4194697455087521,fluxnet2015,212
koppen_beck2023,13class_twoletter,13,0.2922554786441764,0.48803322886508593,la_thuile,252
koppen_beck2023,13class_twoletter,13,0.2229460105350978,0.6401139253376449,marconi,35
koppen_beck2023,30class,30,0.3496424510156036,0.4403558175001664,current_767,767
koppen_beck2023,30class,30,0.35297669115345653,0.4555663946828773,fluxnet2015,212
koppen_beck2023,30class,30,0.2827512108063624,0.5289856378110361,la_thuile,252
koppen_beck2023,30class,30,0.2121908202063231,0.6630720842697382,marconi,35
koppen_beck2023,5class,5,0.40076152635518586,0.32906435705269277,current_767,767
koppen_beck2023,5class,5,0.403566662920176,0.3183137699374069,fluxnet2015,212
koppen_beck2023,5class,5,0.33549883590919494,0.39249898360669777,la_thuile,252
koppen_beck2023,5class,5,0.3173471669384415,0.5037265726474162,marconi,35
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.3807808204136632,0.4058009177516726,current_767,767
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.3730105017434733,0.42757062074761937,fluxnet2015,212
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.3020072100152889,0.5101176887839363,la_thuile,252
koppen_beck2023_future_ssp245_2041_2070,13class_twoletter,13,0.20676919215348252,0.6569246282240497,marconi,35
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.36760853840575375,0.4325969415683639,current_767,767
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.3303286905394402,0.4735239823009588,fluxnet2015,212
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.25641763301691933,0.5490176081497424,la_thuile,252
koppen_beck2023_future_ssp245_2041_2070,30class,30,0.2041226588316568,0.6741784860395168,marconi,35
koppen_beck2023_future_ssp245_2041_2070,5class,5,0.3969984680343212,0.3310708529216906,current_767,767
koppen_beck2023_future_ssp245_2041_2070,5class,5,0.4185208899107901,0.31503597694258845,fluxnet2015,212
koppen_beck2023_future_ssp245_2041_2070,5class,5,0.34272433703816696,0.3962458465374537,la_thuile,252
koppen_beck2023_future_ssp245_2041_2070,5class,5,0.2898065559807928,0.5262349743509652,marconi,35
koppen_beck2023_future_ssp585_2071_2099,13class_twoletter,13,0.3648850165538852,0.4099884513911686,current_767,767
koppen_beck2023_future_ssp585_2071_2099,13class_twoletter,13,0.3760779094141896,0.42427195921901545,fluxnet2015,212
koppen_beck2023_future_ssp585_2071_2099,13class_twoletter,13,0.28833786625012187,0.4830761130687457,la_thuile,252
koppen_beck2023_future_ssp585_2071_2099,13class_twoletter,13,0.19094386028192947,0.6767855029557124,marconi,35
koppen_beck2023_future_ssp585_2071_2099,30class,30,0.3462468028441275,0.4498242493164265,current_767,767
koppen_beck2023_future_ssp585_2071_2099,30class,30,0.34120372788890996,0.455631792762709,fluxnet2015,212
koppen_beck2023_future_ssp585_2071_2099,30class,30,0.2549840480988269,0.5138057221396195,la_thuile,252
koppen_beck2023_future_ssp585_2071_2099,30class,30,0.18829039682913695,0.6874776859731403,marconi,35
koppen_beck2023_future_ssp585_2071_2099,5class,5,0.3824999825060176,0.33721580876398616,current_767,767
koppen_beck2023_future_ssp585_2071_2099,5class,5,0.4129291080208741,0.3400703890373787,fluxnet2015,212
koppen_beck2023_future_ssp585_2071_2099,5class,5,0.3293251131123055,0.4300196533460396,la_thuile,252
koppen_beck2023_future_ssp585_2071_2099,5class,5,0.2545434987635018,0.5656695959938881,marconi,35
landcover_cci,high_level,10,0.555653712214049,0.3372312656377399,current_767,767
landcover_cci,high_level,10,0.5821798417838759,0.32045185795591846,fluxnet2015,212
landcover_cci,high_level,10,0.5527813810699549,0.32877122799699154,la_thuile,252
landcover_cci,high_level,10,0.34879478346630804,0.4166115617672561,marconi,35
landcover_cci,level2,22,0.4777632922770735,0.3684877940297687,current_767,767
landcover_cci,level2,22,0.4872069607993365,0.3689674221052995,fluxnet2015,212
landcover_cci,level2,22,0.4586504745341434,0.4088418429014101,la_thuile,252
landcover_cci,level2,22,0.24890779563269097,0.5706053295813838,marconi,35
landcover_cci,native,37,0.44091178754396454,0.39469219556195895,current_767,767
landcover_cci,native,37,0.433319410928536,0.3941252617440535,fluxnet2015,212
landcover_cci,native,37,0.3872226217969303,0.442548432272222,la_thuile,252
landcover_cci,native,37,0.22569244720594744,0.6092729164260253,marconi,35
trendy_et_iav,7bin_hybrid,7,0.669003730019905,0.22653639240591084,fluxnet2015,212
trendy_et_iav,7bin_hybrid,7,0.6318728751093352,0.24598592060268665,la_thuile,252
trendy_et_iav,7bin_hybrid,7,0.5311990685538183,0.2943416859206983,marconi,35
trendy_et_median,7bin_hybrid,7,0.3858430741666773,0.386449217098843,fluxnet2015,212
trendy_et_median,7bin_hybrid,7,0.38132820594178224,0.40642191857886184,la_thuile,252
trendy_et_median,7bin_hybrid,7,0.41626255256457806,0.4386065035270588,marconi,35
trendy_nee_iav,7bin_hybrid,7,0.5078057510600549,0.3158329699375392,fluxnet2015,212
trendy_nee_iav,7bin_hybrid,7,0.4404585509953817,0.3903518046630672,la_thuile,252
trendy_nee_iav,7bin_hybrid,7,0.3973272928346055,0.35191517943292777,marconi,35
trendy_nee_median,7bin_hybrid,7,0.4954323021659446,0.3161875425306458,fluxnet2015,212
trendy_nee_median,7bin_hybrid,7,0.4073965920562537,0.3992941526558834,la_thuile,252
trendy_nee_median,7bin_hybrid,7,0.38116999129468593,0.3623470261138425,marconi,35
biomass_cci_v7,30bin_hybrid,30,0.6161285385978433,0.18921086908140908,current_767,767
biomass_cci_v7,30bin_hybrid,30,0.27522814266702317,0.513765155255798,marconi,35
biomass_cci_v7,30bin_hybrid,30,0.47405221537607073,0.2929762054927651,la_thuile,252
biomass_cci_v7,30bin_hybrid,30,0.5095273929122086,0.2738247026586983,fluxnet2015,212
trendy_nee_iav,30bin_hybrid,30,0.4812911650627604,0.33218346149181893,current_767,767
trendy_nee_iav,30bin_hybrid,30,0.3565176845187131,0.492799148444616,marconi,35
trendy_nee_iav,30bin_hybrid,30,0.397614923541696,0.4095369177960706,la_thuile,252
trendy_nee_iav,30bin_hybrid,30,0.4367591750275815,0.35868001564151014,fluxnet2015,212
trendy_et_iav,30bin_hybrid,30,0.6328315721875399,0.23467603417928729,current_767,767
trendy_et_iav,30bin_hybrid,30,0.3922031404967515,0.5015685127821367,marconi,35
trendy_et_iav,30bin_hybrid,30,0.5378604171841388,0.32166359318234533,la_thuile,252
trendy_et_iav,30bin_hybrid,30,0.49498703593583776,0.3011401150277723,fluxnet2015,212
trendy_nee_median,30bin_hybrid,30,0.4655056123825356,0.3404516107638897,current_767,767
trendy_nee_median,30bin_hybrid,30,0.3543434726052447,0.5003396879093904,marconi,35
trendy_nee_median,30bin_hybrid,30,0.3730381546676752,0.4324551631689229,la_thuile,252
trendy_nee_median,30bin_hybrid,30,0.44423223596261,0.3633776500532883,fluxnet2015,212
trendy_et_median,30bin_hybrid,30,0.42866082876998535,0.3746849604499907,current_767,767
trendy_et_median,30bin_hybrid,30,0.26820488477798776,0.5754033799903999,marconi,35
trendy_et_median,30bin_hybrid,30,0.338708727481526,0.4543406153473898,la_thuile,252
trendy_et_median,30bin_hybrid,30,0.3594068416992808,0.4220244789475528,fluxnet2015,212
biomass_cci_v7,12bin_hybrid,12,0.6204590640642765,0.1775997956923867,current_767,767
biomass_cci_v7,12bin_hybrid,12,0.3882878536964016,0.38716837239881546,marconi,35
biomass_cci_v7,12bin_hybrid,12,0.49108112700104006,0.26674388382508685,la_thuile,252
biomass_cci_v7,12bin_hybrid,12,0.540817893984807,0.22428913770445036,fluxnet2015,212
biomass_cci_v7,18bin_hybrid,18,0.6162708835940298,0.18332876672216883,current_767,767
biomass_cci_v7,18bin_hybrid,18,0.31273224288340706,0.4744329177946092,marconi,35
biomass_cci_v7,18bin_hybrid,18,0.4896775245471439,0.27287343548288595,la_thuile,252
biomass_cci_v7,18bin_hybrid,18,0.5397713453320024,0.23132605339618925,fluxnet2015,212
biomass_cci_v7,20bin_hybrid,20,0.613871188442075,0.17942944670131403,current_767,767
biomass_cci_v7,20bin_hybrid,20,0.31182057606826213,0.48110097726282336,marconi,35
biomass_cci_v7,20bin_hybrid,20,0.4927957727575667,0.2681817296998058,la_thuile,252
biomass_cci_v7,20bin_hybrid,20,0.5214766035222681,0.2434684625692166,fluxnet2015,212
trendy_nee_iav,12bin_hybrid,12,0.4967680880546216,0.3233262207194779,current_767,767
trendy_nee_iav,12bin_hybrid,12,0.3759556550105114,0.3619140520990684,marconi,35
trendy_nee_iav,12bin_hybrid,12,0.41616626792473016,0.3919920774546427,la_thuile,252
trendy_nee_iav,12bin_hybrid,12,0.4845051713623382,0.3289804723755403,fluxnet2015,212
trendy_nee_iav,18bin_hybrid,18,0.4863181286753342,0.3295252527769293,current_767,767
trendy_nee_iav,18bin_hybrid,18,0.38535360228160453,0.4217454216517057,marconi,35
trendy_nee_iav,18bin_hybrid,18,0.4114806878863492,0.3980802035186224,la_thuile,252
trendy_nee_iav,18bin_hybrid,18,0.4770325566977182,0.33646969080922473,fluxnet2015,212
trendy_nee_iav,20bin_hybrid,20,0.4894291921656257,0.3269923834463269,current_767,767
trendy_nee_iav,20bin_hybrid,20,0.3879520629731048,0.42966364491166303,marconi,35
trendy_nee_iav,20bin_hybrid,20,0.3980716659301238,0.4002237624652273,la_thuile,252
trendy_nee_iav,20bin_hybrid,20,0.48274329899489826,0.33142029936653555,fluxnet2015,212
trendy_et_iav,12bin_hybrid,12,0.6544047757831161,0.22542482964875712,current_767,767
trendy_et_iav,12bin_hybrid,12,0.4976725853495259,0.3879289385133757,marconi,35
trendy_et_iav,12bin_hybrid,12,0.5970325507913018,0.26244081690098214,la_thuile,252
trendy_et_iav,12bin_hybrid,12,0.6249335077286463,0.2231984646768156,fluxnet2015,212
trendy_et_iav,18bin_hybrid,18,0.6360763978309153,0.2372654217278409,current_767,767
trendy_et_iav,18bin_hybrid,18,0.4205748855833023,0.4771248040152398,marconi,35
trendy_et_iav,18bin_hybrid,18,0.590055098612785,0.2948400165412612,la_thuile,252
trendy_et_iav,18bin_hybrid,18,0.5897216078010992,0.2577394151498239,fluxnet2015,212
trendy_et_iav,20bin_hybrid,20,0.6347943611521463,0.23517271942559384,current_767,767
trendy_et_iav,20bin_hybrid,20,0.4441916255561522,0.45928880558584545,marconi,35
trendy_et_iav,20bin_hybrid,20,0.5884015983500601,0.28473594789401246,la_thuile,252
trendy_et_iav,20bin_hybrid,20,0.5478294210232189,0.2744523523368014,fluxnet2015,212
trendy_nee_median,12bin_hybrid,12,0.4795675742208807,0.3293428936157559,current_767,767
trendy_nee_median,12bin_hybrid,12,0.3735085297807004,0.40244576377005087,marconi,35
trendy_nee_median,12bin_hybrid,12,0.38371589621562935,0.4091084202536692,la_thuile,252
trendy_nee_median,12bin_hybrid,12,0.4880380290031987,0.32830889838195537,fluxnet2015,212
trendy_nee_median,18bin_hybrid,18,0.4772881286432648,0.3367052203728814,current_767,767
trendy_nee_median,18bin_hybrid,18,0.3445095751509199,0.4680990423052905,marconi,35
trendy_nee_median,18bin_hybrid,18,0.3726647591547024,0.4160958596596065,la_thuile,252
trendy_nee_median,18bin_hybrid,18,0.4735130658983339,0.3423336082440471,fluxnet2015,212
trendy_nee_median,20bin_hybrid,20,0.4744762379320246,0.33367104181152685,current_767,767
trendy_nee_median,20bin_hybrid,20,0.34035522765093734,0.4755539066633538,marconi,35
trendy_nee_median,20bin_hybrid,20,0.3830787728784078,0.4215223232823674,la_thuile,252
trendy_nee_median,20bin_hybrid,20,0.4459775260436999,0.3525825579323069,fluxnet2015,212
trendy_et_median,12bin_hybrid,12,0.4562023818562413,0.3675450238320022,current_767,767
trendy_et_median,12bin_hybrid,12,0.3552639598220929,0.47864897777124504,marconi,35
trendy_et_median,12bin_hybrid,12,0.3541607323577336,0.43960110277109904,la_thuile,252
trendy_et_median,12bin_hybrid,12,0.370808870008285,0.4085006584319233,fluxnet2015,212
trendy_et_median,18bin_hybrid,18,0.43337679802092977,0.3669395802462585,current_767,767
trendy_et_median,18bin_hybrid,18,0.31673122891277183,0.5275801794847603,marconi,35
trendy_et_median,18bin_hybrid,18,0.3626873316828299,0.436710987426558,la_thuile,252
trendy_et_median,18bin_hybrid,18,0.3661062745703123,0.4145377281648587,fluxnet2015,212
trendy_et_median,20bin_hybrid,20,0.44696655401279334,0.37182683621573287,current_767,767
trendy_et_median,20bin_hybrid,20,0.2876792461068741,0.5383200279225331,marconi,35
trendy_et_median,20bin_hybrid,20,0.3503914745245252,0.43137971759659366,la_thuile,252
trendy_et_median,20bin_hybrid,20,0.35300890071580465,0.4100382041337244,fluxnet2015,212
trendy_nee_iav,7bin_hybrid,7,0.5073444965452597,0.3156212634029903,current_767,767
trendy_et_iav,7bin_hybrid,7,0.6633942553556277,0.22420611929542664,current_767,767
trendy_nee_median,7bin_hybrid,7,0.494861764051118,0.3198641367029892,current_767,767
trendy_et_median,7bin_hybrid,7,0.45895390502941796,0.345247423409703,current_767,767
