site_id,status,old_file,new_file,old_size,new_size,old_sha256,new_sha256,old_years,new_years
US-ARM,IDENTICAL,AMF_US-ARM_FLUXNET_FLUXMET_MM_2003-2025_v1.3_r1.csv,AMF_US-ARM_FLUXNET_FLUXMET_MM_2003-2025_v1.3_r1.csv,806720,806720,5c5ae394c031f09409964c3306f9aac921ed6bf1bafa8b0af34a8f92dfc2c074,5c5ae394c031f09409964c3306f9aac921ed6bf1bafa8b0af34a8f92dfc2c074,2003-2025,2003-2025
US-Aud,IDENTICAL,AMF_US-Aud_FLUXNET_FLUXMET_MM_2002-2024_v1.3_r1.csv,AMF_US-Aud_FLUXNET_FLUXMET_MM_2002-2024_v1.3_r1.csv,649971,649971,22228f21335c319c682fb2c3fd3e764aec6452b59b6e6e93d09bda7fcd7f5ff4,22228f21335c319c682fb2c3fd3e764aec6452b59b6e6e93d09bda7fcd7f5ff4,2002-2024,2002-2024
US-Bar,IDENTICAL,AMF_US-Bar_FLUXNET_FLUXMET_MM_2004-2023_v1.3_r1.csv,AMF_US-Bar_FLUXNET_FLUXMET_MM_2004-2023_v1.3_r1.csv,637003,637003,757d7a208eb33b04723fc211435b48b7c35c36ffa70fae9c6a415a4fea9af448,757d7a208eb33b04723fc211435b48b7c35c36ffa70fae9c6a415a4fea9af448,2004-2023,2004-2023
US-Bi1,IDENTICAL,AMF_US-Bi1_FLUXNET_FLUXMET_MM_2016-2024_v1.3_r1.csv,AMF_US-Bi1_FLUXNET_FLUXMET_MM_2016-2024_v1.3_r1.csv,287625,287625,fb3f366aa896ebcd411a44337409f49b91d3179e6f18d071f796ab5e58356920,fb3f366aa896ebcd411a44337409f49b91d3179e6f18d071f796ab5e58356920,2016-2024,2016-2024
US-Bi2,IDENTICAL,AMF_US-Bi2_FLUXNET_FLUXMET_MM_2017-2025_v1.3_r1.csv,AMF_US-Bi2_FLUXNET_FLUXMET_MM_2017-2025_v1.3_r1.csv,293489,293489,1bd1186c837586330bdb119fc25967cef639850eca225990e9d92066d6556136,1bd1186c837586330bdb119fc25967cef639850eca225990e9d92066d6556136,2017-2025,2017-2025
US-BZB,IDENTICAL,AMF_US-BZB_FLUXNET_FLUXMET_MM_2011-2025_v1.3_r1.csv,AMF_US-BZB_FLUXNET_FLUXMET_MM_2011-2025_v1.3_r1.csv,481394,481394,175cf31f628c52edc6946ebc702c1d18cd49f2b878d5208cd57cbc3ff854143e,175cf31f628c52edc6946ebc702c1d18cd49f2b878d5208cd57cbc3ff854143e,2011-2025,2011-2025
RU-Ege,IDENTICAL,JPF_RU-Ege_FLUXNET_FLUXMET_MM_2010-2018_v1.3_r1.csv,JPF_RU-Ege_FLUXNET_FLUXMET_MM_2010-2018_v1.3_r1.csv,280586,280586,e1de7e7af5d78bf82b943d6e0d4e7b1639519cbd30f2f419c16a85e176e9ceaf,e1de7e7af5d78bf82b943d6e0d4e7b1639519cbd30f2f419c16a85e176e9ceaf,2010-2018,2010-2018
MY-LHP,IDENTICAL,JPF_MY-LHP_FLUXNET_FLUXMET_MM_2009-2019_v1.3_r1.csv,JPF_MY-LHP_FLUXNET_FLUXMET_MM_2009-2019_v1.3_r1.csv,307138,307138,23c0d6972e90b662128b11628bc265d4217f9097fc14a3975dfc82f736635bd6,23c0d6972e90b662128b11628bc265d4217f9097fc14a3975dfc82f736635bd6,2009-2019,2009-2019
AU-Ya1,IDENTICAL,TERN_AU-Ya1_FLUXNET_FLUXMET_MM_2023-2025_v1.3_r1.csv,TERN_AU-Ya1_FLUXNET_FLUXMET_MM_2023-2025_v1.3_r1.csv,95922,95922,ef22eb2f029cf6bd9a8c95ad1c182b9dcc694440c70dade53e25c04ed9c1f66e,ef22eb2f029cf6bd9a8c95ad1c182b9dcc694440c70dade53e25c04ed9c1f66e,2023-2025,2023-2025
JP-Om2,DIFFERS_MINOR,JPF_JP-Om2_FLUXNET_FLUXMET_MM_2022-2023_v1.3_r1.csv,JPF_JP-Om2_FLUXNET_FLUXMET_MM_2022-2025_v1.3_r1.csv,41385,130015,83f910ae48723f4d50b447ff0bf0e15bfa3eff494148fa0c3898c134c087bae8,ca87506bee27e07d12e7735372f8f711174cbe8313116135120263b52929a1d4,2022-2023,2022-2025
